epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3776.12,1.20006,1.36395,1.23588,0.6393,0.54213,0.60286,0.44248,1.08898,1.13277,1.12558,8.33e-06,8.33e-06,8.33e-06
2,5575.79,1.1703,1.37353,1.20024,0.62906,0.56612,0.62277,0.46025,1.08008,1.1008,1.11817,1.60829e-05,1.60829e-05,1.60829e-05
3,7057.43,1.16981,1.29094,1.17859,0.61252,0.57843,0.64082,0.47166,1.07108,1.08263,1.11205,2.19507e-05,2.19507e-05,2.19507e-05
4,8324.52,1.1465,1.34267,1.17819,0.62343,0.6019,0.65944,0.48716,1.06127,1.06086,1.10683,2.59337e-05,2.59337e-05,2.59337e-05
5,9615.57,1.12968,1.20698,1.16996,0.66955,0.59792,0.66894,0.49842,1.05797,1.03783,1.10221,2.80316e-05,2.80316e-05,2.80316e-05
6,11397.8,1.12771,1.22514,1.1934,0.69574,0.50103,0.58062,0.42755,1.05032,1.0139,1.09769,2.82447e-05,2.82447e-05,2.82447e-05
7,12147,1.07139,1.17347,1.14394,0.71147,0.60141,0.69178,0.51698,1.04172,0.99721,1.09262,2.65727e-05,2.65727e-05,2.65727e-05
8,12797.8,1.09615,1.16441,1.17288,0.72926,0.60701,0.70008,0.52564,1.03558,0.98442,1.08802,2.30158e-05,2.30158e-05,2.30158e-05
9,13474,1.10566,1.12354,1.15628,0.7156,0.61809,0.7032,0.53165,1.03118,0.97332,1.08584,1.75739e-05,1.75739e-05,1.75739e-05
10,14138.5,1.10627,1.12245,1.16128,0.72797,0.62216,0.7009,0.53003,1.02966,0.96854,1.0851,1.02471e-05,1.02471e-05,1.02471e-05
